Time,Flow,Throughput
1,0,0.0
1,1,0.0
2,0,6.3504
2,1,0.372352
2,2,0.0
2,3,0.0
3,0,4.48291
3,1,0.196352
3,2,5.51405
3,3,0.348064
4,0,4.9439
4,1,0.217984
4,2,5.02387
4,3,0.22256
5,0,5.01446
5,1,0.222144
5,2,4.95802
5,3,0.219232
6,0,5.18381
6,1,0.2288
6,2,4.78397
6,3,0.211744
7,0,5.24966
7,1,0.232128
7,2,4.71341
7,3,0.208416
8,0,4.52995
8,1,0.246496
8,2,5.42842
8,3,0.238368
9,0,4.04544
9,1,0.179296
9,2,5.91763
9,3,0.261664
10,0,4.17245
10,1,0.184288
10,2,5.80003
10,3,0.256672
11,0,4.37472
11,1,0.192608
11,2,5.59475
11,3,0.33408
12,0,5.98349
12,1,0.263744
12,2,4.00781
12,3,0.176384
13,0,5.93645
13,1,0.262496
13,2,4.03133
13,3,0.178464
14,0,6.02582
14,1,0.266656
14,2,3.92314
14,3,0.173888
15,0,6.04934
15,1,0.267904
15,2,3.91373
15,3,0.17264
16,0,5.72006
16,1,0.332384
16,2,4.2383
16,3,0.185952
17,0,4.77926
17,1,0.211328
17,2,5.18851
17,3,0.229632
18,0,4.85453
18,1,0.214656
18,2,5.11325
18,3,0.226304
19,0,4.80278
19,1,0.212576
19,2,5.16029
19,3,0.227968
20,0,5.81885
20,1,0.25584
20,2,4.1655
20,3,0.281568
21,0,6.37862
21,1,0.282464
21,2,3.58445
21,3,0.158496
22,0,6.41155
22,1,0.283296
22,2,3.55622
22,3,0.157248
23,0,6.45859
23,1,0.285376
23,2,3.50918
23,3,0.154752
24,0,6.19987
24,1,0.33104
24,2,3.72557
24,3,0.163488
25,0,5.14147
25,1,0.226304
25,2,4.85453
25,3,0.214656
26,0,5.18851
26,1,0.229216
26,2,4.77926
26,3,0.211328
27,0,5.20733
27,1,0.230464
27,2,4.75574
27,3,0.21008
28,0,5.12736
28,1,0.22672
28,2,4.83514
28,3,0.305696
29,0,6.64205
29,1,0.292448
29,2,3.33984
29,3,0.150592
30,0,6.5856
30,1,0.2912
30,2,3.38688
30,3,0.14976
31,0,6.63264
31,1,0.29328
31,2,3.33514
31,3,0.147264
32,0,6.55267
32,1,0.289952
32,2,3.40099
32,3,0.150176
33,0,5.63747
33,1,0.309792
33,2,4.32768
33,3,0.190112
34,0,5.36726
34,1,0.237536
34,2,4.5864
34,3,0.203008
35,0,5.4096
35,1,0.2392
35,2,4.56288
35,3,0.20176
36,0,5.25907
36,1,0.23296
36,2,4.6993
36,3,0.207168
37,0,4.61462
37,1,0.248192
37,2,5.35181
37,3,0.303104
38,0,4.30886
38,1,0.190944
38,2,5.65421
38,3,0.250016
39,0,4.29475
39,1,0.18928
39,2,5.67773
39,3,0.250848
40,0,4.37942
40,1,0.193856
40,2,5.57424
40,3,0.247104
41,0,4.63344
41,1,0.204672
41,2,5.34374
41,3,0.236704
42,0,5.92234
42,1,0.261248
42,2,4.04701
42,3,0.274912
43,0,6.52445
43,1,0.287456
43,2,3.46214
43,3,0.153088
44,0,6.51504
44,1,0.288704
44,2,3.44333
44,3,0.152256
45,0,6.5856
45,1,0.315264
45,2,3.37747
45,3,0.149344
46,0,5.6104
46,1,0.309984
46,2,4.3465
46,3,0.190528
47,0,5.49898
47,1,0.242944
47,2,4.47821
47,3,0.198016
48,0,5.51779
48,1,0.244608
48,2,4.43587
48,3,0.196352
49,0,5.5225
49,1,0.243776
49,2,4.44528
49,3,0.196352
50,0,4.42176
50,1,0.262528
50,2,5.5319
50,3,0.242112
