FlowId, Time, RTT, Cwnd, Throughput, Loss, GainCwnd, PacingRate, minRTT, bdp, LastBdp, mode, SlowStart, ssThresh 
1, 2, 0.06, 5360, 0.864, 0, 4, 0, 10, 4, 0, 2, 0, 4294967295
1, 3, 0.06, 36978, 2364.19, 0, 4, 0, 0.06, 24652, 24652, 2, 1, 4294967295
1, 4, 0.26, 54658, 1150.05, 0, 4, 0, 0.06, 36439, 36439, 3, 1, 4294967295
1, 5, 0.06, 4, 478.272, 0, 4, 0, 0.06, 2600, 36439, 0, 0, 4
1, 6, 0.26, 186, 14.112, 0, 4, 0, 0.06, 124, 124, 2, 1, 33554432
1, 7, 0.26, 536, 4.704, 0, 4, 0, 0.26, 4, 0, 2, 1, 33554432
1, 8, 0.26, 804, 18.816, 0, 4, 0, 0.26, 536, 536, 2, 1, 33554432
1, 9, 0.26, 4, 4.704, 0, 4, 0, 0.26, 536, 536, 0, 1, 4
1, 10, 0.26, 536, 14.112, 1, 4, 0, 0.26, 4, 0, 3, 1, 33554432
3, 10, 0, 4, 0.448, 1, 4, 0, 10, 4, 0, 2, 0, 33554432
1, 11, 0.26, 804, 14.112, 0, 4, 0, 0.26, 536, 536, 3, 1, 33554432
3, 11, 0.12, 5360, 0.416, 0, 4, 0, 10, 4, 0, 2, 0, 4294967295
1, 12, 0.26, 4, 0, 0, 4, 0, 0.26, 536, 536, 0, 1, 4
3, 12, 0.12, 12864, 651.936, 24, 4, 0, 0.12, 8576, 8576, 3, 1, 4294967295
1, 13, 0.26, 804, 18.816, 0, 4, 0, 0.26, 536, 536, 2, 1, 33554432
3, 13, 0.12, 40195, 1150.3, 0, 4, 0, 0.12, 26797, 26797, 2, 1, 4294967295
1, 14, 0.26, 4, 9.408, 0, 4, 0, 0.26, 536, 536, 0, 1, 4
3, 14, 0.12, 88432, 4566.72, 164, 4, 0, 0.12, 58955, 58955, 3, 1, 4294967295
1, 15, 0.26, 536, 9.408, 0, 4, 0, 0.26, 4, 0, 2, 1, 33554432
3, 15, 0.321, 131839, 1153.82, 0, 4, 0, 0.12, 87893, 87893, 2, 1, 4294967295
1, 16, 0.26, 804, 18.816, 0, 4, 0, 0.26, 536, 536, 3, 1, 33554432
3, 16, 0.12, 4, 5775.36, 0, 4, 0, 0.12, 131056, 131056, 0, 0, 4
1, 17, 0.26, 4, 0, 0, 4, 0, 0.26, 536, 536, 0, 1, 4
3, 17, 0.12, 536, 4.704, 0, 4, 0, 0.12, 4, 0, 2, 0, 33554432
1, 18, 0.26, 804, 18.816, 0, 4, 0, 0.26, 536, 536, 2, 1, 33554432
3, 18, 0.32, 301, 9.408, 0, 4, 0, 0.12, 201, 201, 2, 1, 33554432
1, 19, 0.26, 4, 9.408, 0, 4, 0, 0.26, 536, 536, 0, 1, 4
3, 19, 0.32, 536, 4.704, 0, 4, 0, 0.32, 4, 0, 2, 1, 33554432
1, 20, 0.26, 536, 9.408, 0, 4, 0, 0.26, 4, 0, 2, 1, 33554432
3, 20, 0.32, 804, 18.816, 1, 4, 0, 0.32, 536, 536, 2, 1, 33554432
1, 21, 0.26, 804, 14.112, 0, 4, 0, 0.26, 536, 536, 2, 1, 33554432
3, 21, 0.32, 4, 4.704, 0, 4, 0, 0.32, 536, 536, 0, 1, 4
1, 22, 0.26, 4, 4.704, 0, 4, 0, 0.26, 536, 536, 0, 1, 4
3, 22, 0.32, 536, 9.408, 0, 4, 0, 0.32, 4, 0, 2, 1, 33554432
1, 23, 0.26, 536, 14.112, 0, 4, 0, 0.26, 4, 0, 3, 1, 33554432
3, 23, 0.32, 804, 14.112, 0, 4, 0, 0.32, 536, 536, 2, 1, 33554432
1, 24, 0.26, 4, 14.112, 0, 4, 0, 0.26, 536, 536, 0, 1, 4
3, 24, 0.32, 4, 4.704, 0, 4, 0, 0.32, 536, 536, 0, 1, 4
1, 25, 0.26, 536, 4.704, 0, 4, 0, 0.26, 4, 0, 2, 1, 33554432
3, 25, 0.32, 536, 9.408, 0, 4, 0, 0.32, 4, 0, 2, 1, 33554432
1, 26, 0.26, 804, 18.816, 0, 4, 0, 0.26, 536, 536, 2, 1, 33554432
3, 26, 0.32, 804, 14.112, 0, 4, 0, 0.32, 536, 536, 2, 1, 33554432
1, 27, 0.26, 4, 9.408, 0, 4, 0, 0.26, 536, 536, 0, 1, 4
3, 27, 0.32, 4, 4.704, 0, 4, 0, 0.32, 536, 536, 0, 1, 4
1, 28, 0.26, 536, 9.408, 0, 4, 0, 0.26, 4, 0, 2, 1, 33554432
3, 28, 0.32, 536, 9.408, 0, 4, 0, 0.32, 4, 0, 2, 1, 33554432
1, 29, 0.26, 804, 18.816, 0, 4, 0, 0.26, 536, 536, 3, 1, 33554432
3, 29, 0.32, 804, 14.112, 0, 4, 0, 0.32, 536, 536, 2, 1, 33554432
1, 30, 0.26, 4, 0, 0, 4, 0, 0.26, 536, 536, 0, 1, 4
3, 30, 0.32, 4, 4.704, 0, 4, 0, 0.32, 536, 536, 0, 1, 4
1, 31, 0.26, 804, 18.816, 1, 4, 0, 0.26, 536, 536, 2, 1, 33554432
3, 31, 0.32, 536, 9.408, 0, 4, 0, 0.32, 4, 0, 2, 1, 33554432
1, 32, 0.26, 4, 9.408, 0, 4, 0, 0.26, 536, 536, 0, 1, 4
3, 32, 0.32, 804, 18.816, 1, 4, 0, 0.32, 536, 536, 3, 1, 33554432
1, 33, 0.26, 536, 4.704, 0, 4, 0, 0.26, 4, 0, 2, 1, 33554432
3, 33, 0.32, 4, 0, 0, 4, 0, 0.32, 536, 536, 0, 1, 4
1, 34, 0.26, 804, 18.816, 0, 4, 0, 0.26, 536, 536, 2, 1, 33554432
3, 34, 0.32, 536, 14.112, 0, 4, 0, 0.32, 4, 0, 3, 1, 33554432
1, 35, 0.26, 4, 4.704, 0, 4, 0, 0.26, 536, 536, 0, 1, 4
