Time,Flow,Throughput
1,0,0.0
1,1,0.0
2,0,4.29894
2,1,0.0
3,0,4.12506
3,1,0.0
4,0,4.95136
4,1,0.0
5,0,4.54528
5,1,0.0
6,0,4.54099
6,1,0.0
7,0,4.54099
7,1,0.0
8,0,4.54528
8,1,0.0
9,0,4.54099
9,1,0.0
10,0,4.54099
10,1,0.0
11,0,4.54528
11,1,0.0
12,0,3.39392
12,1,0.997184
13,0,2.42701
13,1,2.25978
14,0,2.01536
14,1,2.26406
15,0,2.5728
15,1,2.22976
16,0,2.64998
16,1,1.89101
17,0,2.68858
17,1,1.85242
18,0,2.70144
18,1,1.84384
19,0,2.69715
19,1,1.84384
20,0,2.37126
20,1,2.16544
21,0,2.04966
21,1,2.49562
22,0,1.87814
22,1,2.66285
23,0,2.81293
23,1,0.690368
24,0,4.47238
24,1,1.10829
25,0,2.95872
25,1,1.58227
26,0,2.75718
26,1,1.7881
27,0,2.77434
27,1,1.76666
28,0,2.52563
28,1,2.01107
29,0,2.27693
29,1,2.26835
30,0,2.27264
30,1,2.26835
31,0,2.22118
31,1,2.31981
32,0,2.27693
32,1,1.29498
33,0,4.46381
33,1,1.04896
34,0,3.62765
34,1,0.917632
35,0,2.98016
35,1,1.56083
36,0,2.76576
36,1,1.77094
37,0,2.54707
37,1,1.99821
38,0,2.51277
38,1,2.02822
39,0,2.50419
39,1,2.0368
40,0,2.49133
40,1,2.05395
41,0,2.17402
41,1,2.36698
42,0,1.91245
42,1,2.62854
43,0,1.83526
43,1,2.71002
44,0,1.8567
44,1,2.68429
45,0,1.93389
45,1,2.6071
46,0,2.01107
46,1,2.53421
47,0,2.13114
47,1,2.07539
48,0,2.91584
48,1,1.95962
49,0,2.63712
49,1,1.52653
50,0,3.03162
50,1,1.88672
51,0,2.58566
51,1,1.95533
52,0,2.55994
52,1,1.98106
53,0,2.55994
53,1,1.98534
54,0,2.49133
54,1,2.04966
55,0,1.88672
55,1,2.64998
56,0,1.48794
56,1,3.05766
57,0,2.13542
57,1,2.40128
58,0,2.19117
58,1,2.34982
59,0,2.24262
59,1,2.30266
60,0,2.31981
60,1,2.22118
61,0,2.34125
61,1,2.19974
62,0,2.15258
62,1,2.20403
63,0,1.97248
63,1,2.7529
64,0,1.63373
64,1,2.90726
65,0,2.74861
65,1,0.7504
66,0,4.47667
66,1,1.11021
67,0,2.77862
67,1,1.76237
68,0,2.56422
68,1,1.97677
69,0,2.59424
69,1,1.95104
70,0,2.56422
70,1,1.97248
71,0,2.07539
71,1,2.4656
72,0,2.08826
72,1,2.45702
73,0,2.0711
73,1,2.46989
74,0,2.02822
74,1,1.86099
75,0,4.15078
75,1,1.04621
76,0,3.46042
76,1,1.08058
77,0,2.85581
77,1,1.68518
78,0,2.87296
78,1,1.66803
79,0,2.3927
79,1,2.14829
80,0,2.41843
80,1,2.12256
81,0,2.40986
81,1,2.13542
82,0,2.40557
82,1,2.13542
83,0,2.2855
83,1,1.80954
84,0,2.65856
84,1,2.32838
85,0,2.77005
85,1,1.77094
86,0,2.80435
86,1,1.73664
87,0,2.75718
87,1,1.7881
88,0,2.69286
88,1,1.84813
89,0,2.67571
89,1,1.86528
90,0,2.48275
90,1,1.95533
91,0,1.86528
91,1,2.78291
92,0,1.65946
92,1,2.59424
93,0,2.24691
93,1,2.57952
94,0,2.31552
94,1,2.22547
95,0,2.36698
95,1,2.1783
96,0,2.42272
96,1,2.11827
97,0,2.44416
97,1,2.09683
98,0,2.24691
98,1,2.29408
99,0,1.86528
99,1,2.67571
100,0,1.72806
